Date,End Time,Duration in Seconds,Transfer From,Source ID,Transfer To,Target ID,Product,Volume,Metered Volume,Temp Comp Metered Volume,Transaction Type,Peak Flow Rate,Average Flow Rate,Flow Duration,Start Time,Flow Duration Seconds,Start Hour,End Hour,Transaction Duration (Minutes),Day of Week,Part of Day,Flow Rate Ratio,weather_id,realtime_source,wind_direction_deg,dewpoint_temp_c,air_temp_c,humidity_percent,precipitation_mm,utc_date,Wind Direction Category,Feels Like Temp,Rain Intensity
20-11-2024 14:52,20-11-2024 15:17,1506,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9428 Diesel,Grandmeister Unit 9428 Diesel,DIESEL,8808.9,8808.9,0,MANUAL,387,383.27,00:22:59,20-11-2024 14:52,1379,14,15,25.1,Wednesday,Afternoon,0.990361757,2741184,TRUE,7,-19.1,-16.6,81,0,20-11-2024 14:00,N,-20.4,No Rain
20-11-2024 15:35,20-11-2024 15:58,1369,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,DIESEL,7424.3,7424.3,0,MANUAL,483,347.47,00:21:22,20-11-2024 15:35,1282,15,15,22.81666667,Wednesday,Afternoon,0.719399586,2704345,FALSE,10,-19,-16.6,82,0,20-11-2024 15:00,N,-20.2,No Rain
20-11-2024 16:05,20-11-2024 16:26,1287,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,Grandmeister Unit 9042 Diesel,Grandmeister Unit 9042 Diesel,DIESEL,7149.6,7149.6,0,MANUAL,453,363.85,00:19:39,20-11-2024 16:05,1179,16,16,21.45,Wednesday,Afternoon,0.803200883,2704346,FALSE,10,-18.8,-16.3,81,0,20-11-2024 16:00,N,-20.1,No Rain
20-11-2024 16:27,20-11-2024 16:35,495,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,TLP 2101,TPU 4710,DIESEL,2087.7,2087.7,0,MANUAL,369,365.2,00:05:43,20-11-2024 16:27,343,16,16,8.25,Wednesday,Afternoon,0.989701897,2704346,FALSE,10,-18.8,-16.3,81,0,20-11-2024 16:00,N,-20.1,No Rain
20-11-2024 16:34,20-11-2024 16:53,1152,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,DIESEL,6667.6,6667.6,0,MANUAL,484,372.15,00:17:55,20-11-2024 16:34,1075,16,16,19.2,Wednesday,Afternoon,0.768904959,2704346,FALSE,10,-18.8,-16.3,81,0,20-11-2024 16:00,N,-20.1,No Rain
20-11-2024 17:19,20-11-2024 17:21,144,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,TLP 2104,TLP 2104,DIESEL,609.9,609.9,0,MANUAL,389,321,00:01:54,20-11-2024 17:19,114,17,17,2.4,Wednesday,Afternoon,0.825192802,2741187,TRUE,11,-18.1,-15.3,79,0,20-11-2024 17:00,N,-19.5,No Rain
20-11-2024 20:33,20-11-2024 21:00,1659,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,DIESEL,10413.7,10413.7,0,MANUAL,474,392.23,00:26:33,20-11-2024 20:33,1593,20,21,27.65,Wednesday,Evening,0.827489451,2741190,TRUE,346,-17.9,-14.2,74,0,20-11-2024 20:00,N,-19.4,No Rain
20-11-2024 20:39,20-11-2024 21:00,1278,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9428 Diesel,Grandmeister Unit 9428 Diesel,DIESEL,7449,7449,0,MANUAL,388,383.97,00:19:24,20-11-2024 20:39,1164,20,21,21.3,Wednesday,Evening,0.989613402,2741190,TRUE,346,-17.9,-14.2,74,0,20-11-2024 20:00,N,-19.4,No Rain
20-11-2024 21:33,20-11-2024 21:43,574,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,TLP 2102,TPUXXX1,DIESEL,2804.4,2804.4,0,MANUAL,399,394.99,00:07:06,20-11-2024 21:33,426,21,21,9.566666667,Wednesday,Evening,0.989949875,2741191,TRUE,340,-17.3,-14.1,77,0,20-11-2024 21:00,N,-18.7,No Rain
20-11-2024 22:01,20-11-2024 22:07,374,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,TLP 2101,TPU 4710,DIESEL,1373.3,1373.3,0,MANUAL,373,367.85,00:03:44,20-11-2024 22:01,224,22,22,6.233333333,Wednesday,Evening,0.986193029,2741192,TRUE,13,-16.9,-13.9,78,0,20-11-2024 22:00,N,-18.3,No Rain
20-11-2024 23:46,20-11-2024 23:55,497,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9042 Diesel,Grandmeister Unit 9042 Diesel,DIESEL,2057.2,2057.2,0,MANUAL,352,349.67,00:05:53,20-11-2024 23:46,353,23,23,8.283333333,Wednesday,Evening,0.993380682,2704331,FALSE,360,-17.1,-14.5,81,0,20-11-2024 23:00,N,-18.3,No Rain
21-11-2024 00:17,21-11-2024 00:46,1731,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,DIESEL,9431.9,9431.9,0,MANUAL,353,337.05,00:27:59,21-11-2024 00:17,1679,0,0,28.85,Thursday,Night,0.954815864,2741194,TRUE,355,-17.3,-14.9,82,0,21-11-2024 00:00,N,-18.5,No Rain
21-11-2024 00:43,21-11-2024 01:11,1715,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9041 Diesel,Grandmeister Unit 9041 Diesel,DIESEL,10226.1,10226.1,0,MANUAL,395,383.96,00:26:38,21-11-2024 00:43,1598,0,1,28.58333333,Thursday,Night,0.972050633,2741194,TRUE,355,-17.3,-14.9,82,0,21-11-2024 00:00,N,-18.5,No Rain
21-11-2024 01:41,21-11-2024 01:47,369,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9042 Diesel,Grandmeister Unit 9042 Diesel,DIESEL,1223.5,1223.5,0,MANUAL,395,333.68,00:03:40,21-11-2024 01:41,220,1,1,6.15,Thursday,Night,0.844759494,2704333,FALSE,10,-17.3,-14.7,81,0,21-11-2024 01:00,N,-18.5,No Rain
21-11-2024 03:12,21-11-2024 03:20,462,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,TLP 2101,TPU 4710,DIESEL,2148,2148,0,MANUAL,377,370.34,00:05:48,21-11-2024 03:12,348,3,3,7.7,Thursday,Night,0.982334218,2741197,TRUE,360,-17.8,-15.2,81,0,21-11-2024 03:00,N,-19,No Rain
21-11-2024 03:21,21-11-2024 03:39,1053,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,DIESEL,6365.4,6365.4,0,MANUAL,481,373.34,00:17:03,21-11-2024 03:21,1023,3,3,17.55,Thursday,Night,0.776174636,2741197,TRUE,360,-17.8,-15.2,81,0,21-11-2024 03:00,N,-19,No Rain
21-11-2024 03:38,21-11-2024 03:50,706,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9423 Diesel,Grandmeister Unit 9423 Diesel,DIESEL,3551.2,3551.2,0,MANUAL,394,379.13,00:09:22,21-11-2024 03:38,562,3,3,11.76666667,Thursday,Night,0.962258883,2741197,TRUE,360,-17.8,-15.2,81,0,21-11-2024 03:00,N,-19,No Rain
21-11-2024 04:05,21-11-2024 04:25,1223,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,Grandmeister Unit 9428 Diesel,Grandmeister Unit 9428 Diesel,DIESEL,7299.4,7299.4,0,MANUAL,501,384.18,00:19:00,21-11-2024 04:05,1140,4,4,20.38333333,Thursday,Night,0.766826347,2741198,TRUE,347,-17.6,-15.3,82,0,21-11-2024 04:00,N,-18.9,No Rain
21-11-2024 04:45,21-11-2024 05:06,1314,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9041 Diesel,Grandmeister Unit 9041 Diesel,DIESEL,8238.8,8238.8,0,MANUAL,393,388.93,00:21:11,21-11-2024 04:45,1271,4,5,21.9,Thursday,Night,0.989643766,2741198,TRUE,347,-17.6,-15.3,82,0,21-11-2024 04:00,N,-18.9,No Rain
21-11-2024 05:11,21-11-2024 05:20,505,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,TLP 2102,TPUXXX1,DIESEL,2573.5,2573.5,0,MANUAL,399,392.9,00:06:33,21-11-2024 05:11,393,5,5,8.416666667,Thursday,Night,0.984711779,2704338,FALSE,350,-17.7,-15.3,82,0,21-11-2024 05:00,N,-18.9,No Rain
21-11-2024 05:22,21-11-2024 05:29,399,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,TLP 2104,TLP 2104,DIESEL,1541,1541,0,MANUAL,393,339.93,00:04:32,21-11-2024 05:22,272,5,5,6.65,Thursday,Night,0.864961832,2704338,FALSE,350,-17.7,-15.3,82,0,21-11-2024 05:00,N,-18.9,No Rain
21-11-2024 08:58,21-11-2024 09:23,1549,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,DIESEL,8990.6,8990.6,0,MANUAL,461,378.02,00:23:47,21-11-2024 08:58,1427,8,9,25.81666667,Thursday,Morning,0.82,2741202,TRUE,1,-18.9,-16.3,80,0,21-11-2024 08:00,N,-20.3,No Rain
21-11-2024 10:59,21-11-2024 11:26,1623,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9423 Diesel,Grandmeister Unit 9423 Diesel,DIESEL,10256.2,10256.2,0,MANUAL,390,386.54,00:26:32,21-11-2024 10:59,1592,10,11,27.05,Thursday,Morning,0.991128205,2704364,FALSE,10,-19.4,-16.8,80,0,21-11-2024 10:00,N,-20.8,No Rain
21-11-2024 11:37,21-11-2024 11:49,751,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9428 Diesel,Grandmeister Unit 9428 Diesel,DIESEL,4005.5,4005.5,0,MANUAL,388,380.27,00:10:32,21-11-2024 11:37,632,11,11,12.51666667,Thursday,Morning,0.98007732,2741205,TRUE,348,-19.3,-16.8,81,0,21-11-2024 11:00,N,-20.6,No Rain
21-11-2024 11:56,21-11-2024 12:28,1897,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,DIESEL,10269.6,10269.6,0,MANUAL,350,345.78,00:29:42,21-11-2024 11:56,1782,11,12,31.61666667,Thursday,Morning,0.987942857,2741205,TRUE,348,-19.3,-16.8,81,0,21-11-2024 11:00,N,-20.6,No Rain
21-11-2024 13:01,21-11-2024 13:06,292,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,TLP 2104,TLP 2104,DIESEL,1617.2,1617.2,0,MANUAL,392,386.58,00:04:11,21-11-2024 13:01,251,13,13,4.866666667,Thursday,Afternoon,0.986173469,2741207,TRUE,340,-19,-16.7,82,0,21-11-2024 13:00,N,-20.3,No Rain
21-11-2024 13:15,21-11-2024 13:23,434,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9041 Diesel,Grandmeister Unit 9041 Diesel,DIESEL,1702.2,1702.2,0,MANUAL,394,309.49,00:05:30,21-11-2024 13:15,330,13,13,7.233333333,Thursday,Afternoon,0.785507614,2741207,TRUE,340,-19,-16.7,82,0,21-11-2024 13:00,N,-20.3,No Rain
21-11-2024 14:51,21-11-2024 15:04,811,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9428 Diesel,Grandmeister Unit 9428 Diesel,DIESEL,4704.9,4704.9,0,MANUAL,395,372.91,00:12:37,21-11-2024 14:51,757,14,15,13.51666667,Thursday,Afternoon,0.944075949,2704368,FALSE,330,-18.6,-16.3,82,0,21-11-2024 14:00,NW,-19.9,No Rain
21-11-2024 15:22,21-11-2024 15:32,600,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9423 Diesel,Grandmeister Unit 9423 Diesel,DIESEL,3481.7,3481.7,0,MANUAL,395,369.08,00:09:26,21-11-2024 15:22,566,15,15,10,Thursday,Afternoon,0.934379747,2704369,FALSE,320,-18.5,-16.2,83,0,21-11-2024 15:00,NW,-19.6,No Rain
21-11-2024 16:05,21-11-2024 16:08,171,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,DIESEL,632.1,632.1,0,MANUAL,421,308.34,00:02:03,21-11-2024 16:05,123,16,16,2.85,Thursday,Afternoon,0.73239905,2704370,FALSE,320,-18.6,-16.2,81,0,21-11-2024 16:00,NW,-20,No Rain
21-11-2024 16:16,21-11-2024 16:23,407,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,Grandmeister Unit 9428 Diesel,Grandmeister Unit 9428 Diesel,DIESEL,1629.7,1629.7,0,MANUAL,385,333.73,00:04:53,21-11-2024 16:16,293,16,16,6.783333333,Thursday,Afternoon,0.866831169,2704370,FALSE,320,-18.6,-16.2,81,0,21-11-2024 16:00,NW,-20,No Rain
21-11-2024 16:26,21-11-2024 16:38,712,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,Grandmeister Unit 9042 Diesel,Grandmeister Unit 9042 Diesel,DIESEL,4379.3,4379.3,0,MANUAL,474,414.44,00:10:34,21-11-2024 16:26,634,16,16,11.86666667,Thursday,Afternoon,0.874345992,2704370,FALSE,320,-18.6,-16.2,81,0,21-11-2024 16:00,NW,-20,No Rain
21-11-2024 16:57,21-11-2024 17:01,246,Mod 1 Lube Island Virtual,K1 Lube Island Virtual,TLP 2104,TLP 2104,DIESEL,1215.8,1215.8,0,MANUAL,391,385.97,00:03:09,21-11-2024 16:57,189,16,17,4.1,Thursday,Afternoon,0.98713555,2704370,FALSE,320,-18.6,-16.2,81,0,21-11-2024 16:00,NW,-20,No Rain
21-11-2024 17:00,21-11-2024 17:13,800,Mod 4 Lube Island Virtual,K4 Lube Island Virtual,Grandmeister Unit 9425 Diesel,Grandmeister Unit 9425 Diesel,DIESEL,4741.2,4741.2,0,MANUAL,413,395.65,00:11:59,21-11-2024 17:00,719,17,17,13.33333333,Thursday,Afternoon,0.957990315,2741211,TRUE,299,-18.4,-15.7,80,0,21-11-2024 17:00,NW,-19.7,No Rain
